Action;Arousal;Valence
clapping;6.1;6
praying;3.35;6.7
dropping;5.67;4.43
burying;5.5;1.5
covering;3.76;5.59
flooding;5.3;2.7
leaping;4;4.8
drinking;6.7;5.2
slapping;4.59;1.95
cuddling;2.86;7.6
sleeping;2.66;7.22
preaching;3.7;4.6
raining;3.29;6.58
stitching;3.36;4.95
spraying;4;5.06
twisting;4.27;4.6
coaching;3.35;5.72
submerging;4.14;4.47
breaking;7.71;5.1
tuning;3.73;7
boarding;3.25;5.2
running;7.52;6.53
destroying;7.16;1.67
competing;4.4;5.35
giggling;5.39;7.95
shoveling;3.67;5.28
chasing;7.6;2.77
flicking;4.31;5.41
pouring;3.28;5.16
buttoning;3.8;6
hammering;6.56;5.17
carrying;3.47;5.67
surfing;6.57;7.05
pulling;4.1;5.59
squatting;5.05;4.65
aiming;4;5.95
crouching;4.05;4.79
tapping;3.95;5.33
skipping;4.25;4.76
washing;3.7;6
winking;4.75;6.62
queuing;2.1;5.26
locking;3.76;5.95
stopping;4.14;4.73
sneezing;6.81;4
flipping;4.62;5.6
sewing;3.35;5.67
clipping;4.15;5.1
working;6.33;4.05
rocking;5.67;5.65
asking;3.48;5.95
playing+fun;7.32;8.37
camping;5.5;7.09
plugging;3.89;5.27
pedaling;3.89;5.16
constructing;3.73;5.53
slipping;6.7;2.33
sweeping;2.89;5.27
screwing;7.4;5.24
shrugging;3.9;4.71
hitchhiking;5.05;4.74
cracking;6.25;1.68
scratching;6.35;4.95
trimming;3.38;4.64
selling;4.19;5.33
marching;4.1;5.81
stirring;3.05;5.35
kissing;6.05;7.78
jumping;7.14;6.44
starting;4.81;6.41
clinging;4;4.8
socializing;5.16;6.08
picking;3.62;5.91
splashing;5.8;6.53
licking;6.2;6.38
kicking;7.1;3.55
sliding;3.3;5.71
filming;3.1;6.33
driving;4.19;6.5
handwriting;2.65;5.76
steering;3.22;4.9
filling;3.35;5.56
crashing;7.55;1.9
stealing;4.57;2.75
pressing;2.8;5.39
shouting;7.29;5
hiking;4.32;7.68
vacuuming;4.36;5.38
pointing;3.86;5.45
giving;4.57;8.73
diving;3.79;5.81
hugging;3.85;8.23
building;3.35;5.47
swerving;4.2;4.63
dining;4;7.6
floating;2.1;6.42
cheerleading;4.95;5.7
leaning;3.32;6.35
sailing;2.74;7.84
singing;4.1;8.5
playing;3.81;7.55
hitting;7.48;2.95
bubbling;4.77;6.9
joining;3.9;5.83
bathing;3.23;6.14
raising;7.1;7.22
sitting;2.19;5.82
drawing;3.6;6.18
protesting;7.18;4.42
rinsing;1.76;5.45
coughing;4.5;2.75
smashing;7.76;4.68
slicing;3.5;5.05
balancing;3.13;6.84
rafting;4.55;5.7
kneeling;3.85;5.46
dunking;3.6;4.68
brushing;3.18;5.47
crushing;6.6;4.72
rubbing;4.35;6.63
punting;4;4.62
watering;3;6.11
playing+music;6.57;7.67
removing;3.11;2.21
tearing;3.8;3.14
imitating;3.95;5.44
teaching;3.47;7.06
cooking;4.19;7.77
reaching;3.35;5.78
studying;1.55;5.78
serving;3.7;5.36
bulldozing;5;6.5
shaking;4.59;5.2
discussing;4;5.89
dragging;4.81;3.68
gardening;2.2;6.86
performing;6.15;6.48
officiating;3.64;5.21
photographing;4.57;2
sowing;3.71;5.11
dripping;3.7;5.52
writing;3.81;6.45
clawing;4.35;4.95
bending;4.4;5.75
boxing;7.73;4.47
mopping;3.14;4.53
gripping;3.64;5.14
flowing;2.71;5.68
digging;3.67;5.28
tripping;3.89;4.24
cheering;6.33;8.1
buying;4.29;6.82
bicycling;6.95;7.71
feeding;2.55;6.95
emptying;3.24;5.21
unpacking;2.9;5.29
sketching;4.33;6.21
standing;2.1;5.27
