,artist,track,energy,valence,preview_url
0,Casual,I Didn't Mean To,550.0,550.0,https://p.scdn.co/mp3-preview/410ed376e5ef600aaa8c886558f040d454765e21?cid=783e5bc2e5034e4daea6385e965c1e1f
1,The Box Tops,Soul Deep,530.0,970.0,https://p.scdn.co/mp3-preview/9a14555c8355f6366e0b339f72d1cde913b02ca6?cid=783e5bc2e5034e4daea6385e965c1e1f
2,La Sonora Santanera,Amor de Cabaret (with Río Roma),520.0,680.0,https://p.scdn.co/mp3-preview/cad0df3a5fcc445aead35019bc77e1a251bd9ae5?cid=783e5bc2e5034e4daea6385e965c1e1f
3,Adam Ant,Something Girls,940.0,850.0,https://p.scdn.co/mp3-preview/0091e757c9c52a3853933fd6852d9d130b10accc?cid=783e5bc2e5034e4daea6385e965c1e1f
4,Gob,Face the Ashes,920.0,660.0,https://p.scdn.co/mp3-preview/048058ca747fbc76a63e0c67deb4c4baaea95ca7?cid=783e5bc2e5034e4daea6385e965c1e1f
7,Tweeterfriendly Music,Drop of Rain,300.0,180.0,https://p.scdn.co/mp3-preview/0fcba108c8144a7563e2507ee8d815a54fcd57ba?cid=783e5bc2e5034e4daea6385e965c1e1f
8,Planet P Project,Pink World,850.0,510.0,https://p.scdn.co/mp3-preview/32f72c417147d790deb30b9be283671efcb820d5?cid=783e5bc2e5034e4daea6385e965c1e1f
9,JennyAnyKind,Young Boy Blues,570.0,200.0,https://p.scdn.co/mp3-preview/c792db6bb826b67206582987516dd1f2ba364bc6?cid=783e5bc2e5034e4daea6385e965c1e1f
10,Andy CM,La Culpa,530.0,870.0,https://p.scdn.co/mp3-preview/73e32c3175e5af63eec1d9571917d111656f6a53?cid=783e5bc2e5034e4daea6385e965c1e1f
11,Bob Azzam,Auguri cha-cha-cha,440.0,910.0,https://p.scdn.co/mp3-preview/fdd442668eff5fbfbacb30563c4485130bdb9d03?cid=783e5bc2e5034e4daea6385e965c1e1f
13,Blue Rodeo,Floating - Remastered 2012 version,580.0,830.0,https://p.scdn.co/mp3-preview/e529ba18130ee7b7ed0a7938698d4d94839609c5?cid=783e5bc2e5034e4daea6385e965c1e1f
15,Faiz Ali Faiz,Sohna Nee Sohna Data,880.0,930.0,https://p.scdn.co/mp3-preview/7589f49bf2d8e08576229642667accd11dff6167?cid=783e5bc2e5034e4daea6385e965c1e1f
17,Lextrical,Synthetic Dream,590.0,280.0,https://p.scdn.co/mp3-preview/7ac68c820dd3a5814bb2197e5d57b2aacaa565b2?cid=783e5bc2e5034e4daea6385e965c1e1f
18,Jimmy Wakely,Broken Down Merry-Go-Round,190.0,560.0,https://p.scdn.co/mp3-preview/8d784acf9a66a9af136a031b04b493bb25994c76?cid=783e5bc2e5034e4daea6385e965c1e1f
19,Alice Stuart,Kassie Jones,410.0,530.0,https://p.scdn.co/mp3-preview/1ef642becd43f32f28464bad4e78afd9e6d5b7a5?cid=783e5bc2e5034e4daea6385e965c1e1f
